id,name,short_description,key_signals,exemplars
shadcn-neutral,shadcn / Neutral,Monochrome surfaces with subtle-to-moderate accents and shadcn-flavored borders.,"radius:moderate;saturation:near-zero|moderate;density:moderate;weights:regular-bold|regular-medium-semibold-bold;shadow:subtle|none;surface:flat-with-border|flat|glass","github.com, vercel.com, linear.app"
carbon-enterprise,IBM Carbon / Enterprise,Grayscale-dominant with a single saturated brand blue; compact density and zero shadows.,"radius:minimal;saturation:very-low|moderate;density:compact;weights:regular-bold|regular;shadow:none;surface:flat-with-border|flat","ibm.com/design/carbon, watson.ibm.com"
material-elevation,Google Material,High-saturation accents with strong shadow elevation and rounded corners.,"radius:moderate;saturation:high;density:moderate;weights:regular-medium-semibold-bold|regular-bold;shadow:strong|moderate;surface:shadowed|soft-shadowed","material.io, gmail.com, calendar.google.com"
polaris-friendly,Shopify Polaris,Roomy admin surfaces with multiple weights and gradient hero accents.,"radius:moderate|moderate-high;saturation:moderate|high|very-low;density:very-roomy|moderate;weights:regular-bold|regular-medium-semibold-bold|regular;shadow:subtle|moderate|strong;surface:soft-shadowed|flat|flat-with-border|gradient","shopify.com, polaris.shopify.com"
apple-glass,Apple Glass,Restrained mono palette with frosted-glass surfaces and high-radius cards.,"radius:high|moderate-high|moderate;saturation:near-zero|very-low;density:very-roomy|moderate;weights:thin-bold|regular-bold|regular-medium-semibold-bold;shadow:subtle|none|moderate|strong;surface:glass","apple.com, developer.apple.com, icloud.com"
brutalist-mono,Brutalist Mono / Geist,Zero or pill radius, near-zero saturation, no shadows; raw typographic surfaces.,"radius:minimal|high;saturation:near-zero;density:moderate;weights:regular-bold;shadow:none;surface:flat|flat-with-border","vercel.com/font/geist, brutalistwebsites.com"
govuk-conservative,GOV.UK Conservative,Bold-only weights with thick borders; rigid grid and zero shadow.,"radius:minimal;saturation:moderate;density:moderate;weights:bold-only|regular-bold;shadow:none;surface:flat-thick-border","gov.uk, design-system.service.gov.uk"
porsche-precision,Porsche Precision,Mono palette with 400+700 weight pairing and precise borders; never plain regular.,"radius:minimal|minimal-to-moderate;saturation:very-low|near-zero;density:compact|moderate|very-roomy;weights:regular-bold;shadow:none;surface:flat-with-precise-borders|flat-with-border|flat","porsche.com, design.porsche.com"
ant-china-enterprise,Ant Design / China Enterprise,High-saturation brand color with compact density and 14+ named palette colors.,"radius:minimal;saturation:high|high-with-gradients;density:compact;weights:regular;shadow:subtle;surface:flat-with-border|flat","ant.design, alibaba.com, taobao.com"
marketing-gradient,Marketing Gradient,Gradient hero plus glass cards; high saturation; thin/bold display pairing.,"radius:high|moderate-high;saturation:high-with-gradients|high;density:very-roomy;weights:thin-bold|regular-bold;shadow:moderate|strong;surface:gradient|glass","stripe.com, ramp.com, linear.app/marketing"
community-polished,Community Polished,Soft-shadowed cards with moderate radius and friendly admin density.,"radius:moderate|moderate-high;saturation:high|moderate;density:moderate;weights:regular-bold|regular-medium-semibold-bold;shadow:moderate|subtle;surface:soft-shadowed","discord.com, slack.com, notion.so"
